RA_deg,Dec_deg,pmRA_masyr,pmDec_masyr,Parallax_mas,Vrad_kms
153.03766666666667,31.412611111111108,-75.0,-9.0,18.51851851851852,14.6
160.62483333333333,33.67125,-114.39999999999999,-19.1,28.571428571428573,11.9
165.4659166666667,34.70477777777778,-68.2,-13.9,16.666666666666668,12.4
165.54095833333332,34.509861111111114,-65.0,-16.0,17.54385964912281,9.0
167.18333333333334,28.080666666666666,-72.8,-22.2,17.857142857142858,16.0
167.3070416666667,30.027833333333334,-91.1,-21.0,21.27659574468085,10.98
170.2725,38.75463888888889,-68.0,-12.0,15.625,10.9
170.32141666666666,34.77938888888889,-66.0,-13.0,17.857142857142858,10.8
170.32233333333332,34.78055555555555,-68.0,-11.0,16.666666666666668,11.5
170.521625,24.77777777777778,-85.0,-33.0,22.22222222222222,12.8
172.97983333333335,34.60763888888889,-82.0,-19.7,20.833333333333332,13.0
173.1715,26.86566666666667,-72.6,-24.3,21.27659574468085,8.1
173.171125,26.869305555555556,-72.3,-20.9,21.73913043478261,8.9
174.8905,30.66688888888889,-80.0,-30.0,19.607843137254903,5.8
174.96308333333334,31.989305555555557,-93.3,-27.5,23.80952380952381,12.0
181.86370833333334,32.7835,-70.0,-30.0,18.51851851851852,10.9
181.88908333333333,39.54844444444444,-63.0,-23.0,18.867924528301888,11.0
183.87758333333332,39.81194444444444,-76.5,-27.0,19.23076923076923,7.0
186.71366666666665,33.27033333333333,-55.3,-28.0,15.151515151515152,7.2
187.90833333333333,45.98327777777778,-64.0,-28.0,12.820512820512821,8.0
188.73458333333335,45.635444444444445,-49.0,-21.2,12.820512820512821,8.7
188.76733333333334,41.61086111111111,-64.6,-30.3,16.949152542372882,6.3
189.00429166666666,39.8695,-52.99999999999999,-21.0,13.698630136986301,7.0
188.953625,39.840250000000005,-45.0,-20.0,14.492753623188406,0.0
191.30875,44.48558333333333,-46.0,-22.0,12.5,8.0
